angle_degrees,distance_meters,quality
3.590156250000000000e+02,2.710000000000000187e-01,2.300000000000000000e+01
7.187500000000000000e-01,2.822500000000000009e-01,5.000000000000000000e+01
1.578125000000000000e+00,2.824999999999999734e-01,4.900000000000000000e+01
2.453125000000000000e+00,2.829999999999999738e-01,5.000000000000000000e+01
3.312500000000000000e+00,2.844999999999999751e-01,5.000000000000000000e+01
4.171875000000000000e+00,2.864999999999999769e-01,4.400000000000000000e+01
5.031250000000000000e+00,2.882500000000000062e-01,2.200000000000000000e+01
5.875000000000000000e+00,2.899999999999999800e-01,1.900000000000000000e+01
6.734375000000000000e+00,2.887500000000000067e-01,1.700000000000000000e+01
7.578125000000000000e+00,2.847500000000000031e-01,1.600000000000000000e+01
9.328125000000000000e+00,2.929999999999999827e-01,4.900000000000000000e+01
1.018750000000000000e+01,2.952500000000000124e-01,4.900000000000000000e+01
1.104687500000000000e+01,2.977500000000000147e-01,5.000000000000000000e+01
1.190625000000000000e+01,2.992500000000000160e-01,4.900000000000000000e+01
1.298437500000000000e+01,3.002500000000000169e-01,4.400000000000000000e+01
1.390625000000000000e+01,3.019999999999999907e-01,2.200000000000000000e+01
1.481250000000000000e+01,3.029999999999999916e-01,1.800000000000000000e+01
1.573437500000000000e+01,3.019999999999999907e-01,1.600000000000000000e+01
1.643750000000000000e+01,2.999999999999999889e-01,1.400000000000000000e+01
1.729687500000000000e+01,3.007500000000000173e-01,9.000000000000000000e+00
3.335937500000000000e+02,2.949999999999999845e-01,4.800000000000000000e+01
3.344843750000000000e+02,2.939999999999999836e-01,4.800000000000000000e+01
3.353750000000000000e+02,2.909999999999999809e-01,4.900000000000000000e+01
3.362656250000000000e+02,2.889999999999999791e-01,4.800000000000000000e+01
3.372031250000000000e+02,2.884999999999999787e-01,2.800000000000000000e+01
3.381093750000000000e+02,2.879999999999999782e-01,2.500000000000000000e+01
3.390000000000000000e+02,2.864999999999999769e-01,2.200000000000000000e+01
3.407656250000000000e+02,2.777499999999999969e-01,3.200000000000000000e+01
3.416562500000000000e+02,2.817500000000000004e-01,4.900000000000000000e+01
3.425468750000000000e+02,2.832500000000000018e-01,5.000000000000000000e+01
3.434375000000000000e+02,2.824999999999999734e-01,5.000000000000000000e+01
3.443593750000000000e+02,2.814999999999999725e-01,5.000000000000000000e+01
3.452656250000000000e+02,2.807499999999999996e-01,5.000000000000000000e+01
3.461562500000000000e+02,2.800000000000000266e-01,3.800000000000000000e+01
3.470625000000000000e+02,2.777499999999999969e-01,3.300000000000000000e+01
3.479218750000000000e+02,2.752499999999999947e-01,3.100000000000000000e+01
3.488125000000000000e+02,2.730000000000000204e-01,2.800000000000000000e+01
3.497031250000000000e+02,2.712499999999999911e-01,2.800000000000000000e+01
3.515312500000000000e+02,2.810000000000000275e-01,5.000000000000000000e+01
3.524375000000000000e+02,2.800000000000000266e-01,5.000000000000000000e+01
3.533281250000000000e+02,2.795000000000000262e-01,5.000000000000000000e+01
3.542343750000000000e+02,2.797499999999999987e-01,5.100000000000000000e+01
3.550937500000000000e+02,2.795000000000000262e-01,4.400000000000000000e+01
3.559843750000000000e+02,2.777499999999999969e-01,3.000000000000000000e+01
3.568750000000000000e+02,2.760000000000000231e-01,2.700000000000000000e+01
3.577656250000000000e+02,2.727499999999999925e-01,2.500000000000000000e+01
