pair_id,rgb1_image,rgb2_image,valid_pair,rgb1_area_ratio,rgb1_center_x_norm,rgb1_center_y_norm,rgb1_sharpness_laplacian_var,rgb1_board_distance_m,rgb1_pitch_deg,rgb1_yaw_deg,rgb1_roll_deg,rgb1_reprojection_error_px,rgb1_grid_cells,rgb1_bbox_min_x,rgb1_bbox_min_y,rgb1_bbox_max_x,rgb1_bbox_max_y,rgb2_area_ratio,rgb2_center_x_norm,rgb2_center_y_norm,rgb2_sharpness_laplacian_var,rgb2_board_distance_m,rgb2_pitch_deg,rgb2_yaw_deg,rgb2_roll_deg,rgb2_reprojection_error_px,rgb2_grid_cells,rgb2_bbox_min_x,rgb2_bbox_min_y,rgb2_bbox_max_x,rgb2_bbox_max_y
000,rgb1_000.png,rgb2_000.png,True,0.038496691385904946,0.3098832964897156,0.36122700572013855,320.1399467512896,0.7308483652310772,7.304904721646895,3.0762095946932835,9.141154947926974,0.24342620099277903,"1,1;1,2;2,1",288.0029602050781,182.2355194091797,513.9984130859375,339.2234191894531,0.034272956848144534,0.2718484103679657,0.3404950797557831,339.2185812579072,0.7562317989833092,5.47711042628043,3.005709426302584,8.39588511035016,0.2563664437098072,"1,0;1,1;2,0;2,1",250.59100341796875,167.3651885986328,455.351806640625,321.6230163574219
001,rgb1_001.png,rgb2_001.png,True,0.04276515960693359,0.4174899160861969,0.3824106752872467,325.7983989302977,0.6936606132226851,6.653458728854657,2.4591604388631048,9.242418801996283,0.20843413941366654,"1,1;1,2;2,1;2,2",413.40875244140625,197.56661987304688,660.3887939453125,357.1437683105469,0.04010104709201389,0.3723420202732086,0.3577837347984314,349.29569497284945,0.7082113812156279,5.0607673801217565,2.1115706468577935,8.22110406356665,0.17693793229199065,"1,1;1,2;2,1;2,2",363.3776550292969,179.32589721679688,597.3360595703125,337.2904052734375
002,rgb1_002.png,rgb2_002.png,True,0.04457211388481988,0.4916418492794037,0.4287305474281311,322.0498060998799,0.6712412330796497,6.735591872605897,2.184482805110138,10.598561711673828,0.1614798393238845,"1,1;1,2;2,1;2,2",504.37103271484375,228.7205352783203,756.9957885742188,391.3240051269531,0.04326365152994792,0.44392919540405273,0.40161094069480896,351.943068508572,0.6778058089859742,4.884277175287084,2.004911930035022,9.729087969063345,0.18680051716412469,"1,1;1,2;2,1;2,2",447.1778259277344,210.4882354736328,695.0265502929688,371.35968017578125
003,rgb1_003.png,rgb2_003.png,True,0.04254840850830078,0.5931505560874939,0.46359872817993164,301.30126821687367,0.6549614024294965,6.666632353412551,0.27694029300553374,9.943084095803039,0.15361222619614695,"1,2;1,3;2,2;2,3",633.6849975585938,253.73423767089844,880.9141845703125,412.34259033203125,0.044341587490505645,0.546455979347229,0.4349793791770935,342.0272709448496,0.6505220518649398,5.170882250879052,0.07502121340927725,9.11059157471082,0.163361443321826,"1,2;1,3;2,2;2,3",570.8169555664062,232.9658203125,826.72119140625,392.6552734375
004,rgb1_004.png,rgb2_004.png,True,0.03916572570800781,0.6625872850418091,0.4750683307647705,287.19795969136436,0.6588252786480039,6.839593781351089,-0.7157733223739207,11.125366503207683,0.1712672162777013,"1,2;1,3;2,2;2,3",728.48876953125,264.33026123046875,960.9370727539062,419.6126708984375,0.04323293897840712,0.6194078326225281,0.44551214575767517,321.0644369573899,0.6457491560277294,5.293915339405902,-1.109500469923781,10.40649423557003,0.1630312496893708,"1,2;1,3;2,2;2,3",664.8897705078125,241.50640869140625,914.8350830078125,400.9151916503906
005,rgb1_005.png,rgb2_005.png,True,0.0369754155476888,0.7032289505004883,0.4754641354084015,279.24667361365425,0.6628300856834921,6.229340053752497,-1.8125810304828758,11.436136494751437,0.20170791648262956,"1,3;2,3",785.4500122070312,266.36785888671875,1005.9434814453125,420.9145812988281,0.04201900058322482,0.6646429300308228,0.44555550813674927,307.45554077419234,0.6438942936325565,4.155736792563799,-1.9967172265801545,10.137597929069363,0.1878295999788055,"1,2;1,3;2,2;2,3",725.6921997070312,242.27757263183594,967.4058227539062,402.48663330078125
006,rgb1_006.png,rgb2_006.png,True,0.05613268534342448,0.7317873239517212,0.4531708061695099,349.1931071848928,0.55012551148654,15.338406091729173,-0.678053311543692,9.108596078241963,0.1969587629154174,"1,3;1,4;2,3;2,4",793.4244995117188,232.14053344726562,1067.87841796875,420.6307678222656,0.0647185516357422,0.6808556318283081,0.4202142357826233,376.08813178124956,0.533777973672501,13.428310271303445,-0.9102957803099454,7.7253436382096865,0.19424330137636137,"1,2;1,3;2,2;2,3",715.6034545898438,204.6092987060547,1019.36572265625,400.9622497558594
007,rgb1_007.png,rgb2_007.png,True,0.0696341535780165,0.6138460040092468,0.4823583960533142,366.90808881838643,0.5234265208917441,12.968109734907454,2.028917185109593,11.850483801807677,0.203003917224181,"1,2;1,3;2,2;2,3;3,2;3,3",629.292724609375,244.46139526367188,941.4943237304688,450.01715087890625,0.07256586710611979,0.5493015646934509,0.45173126459121704,387.6397384112311,0.5231715795091929,11.716927142500879,1.6257124376786556,10.588172524252682,0.24598275195248448,"1,2;1,3;2,2;2,3",543.3397216796875,223.06256103515625,865.690673828125,430.528076171875
008,rgb1_008.png,rgb2_008.png,True,0.07792477077907986,0.48963600397109985,0.49604135751724243,380.003736180581,0.5144756186841258,13.904543255501041,2.646529621232346,13.802735518348076,0.24514448217890975,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",463.5798034667969,252.0072784423828,796.0183715820312,468.0335693359375,0.07411306593153212,0.4190584719181061,0.4660070240497589,389.4132561643812,0.5291189451972155,12.18440171213373,2.3184501357764966,12.431786911899797,0.283901747130433,"1,1;1,2;2,1;2,2;3,1;3,2",383.5843811035156,230.3430633544922,698.6948852539062,447.1006774902344
009,rgb1_009.png,rgb2_009.png,True,0.08079342312282986,0.36603254079818726,0.47901996970176697,389.35507839598364,0.5107836305957645,10.30378446344942,2.562972183389897,13.95563753290815,0.2837868438076741,"1,1;1,2;2,1;2,2;3,1;3,2",308.74267578125,235.2981719970703,638.8353881835938,460.8688049316406,0.07125943501790365,0.298105925321579,0.4511492848396301,387.43668696853734,0.5384333426448457,8.492143033494706,2.395469995868241,12.984559699168257,0.3485707091838504,"1,0;1,1;1,2;2,0;2,1;2,2;3,1;3,2",242.25717163085938,215.5098419189453,536.6555786132812,438.5840759277344
