index,lidar_rgb1_x_m,lidar_rgb1_y_m,lidar_rgb1_z_m,nearest_stereo_x_m,nearest_stereo_y_m,nearest_stereo_z_m,nearest_error_m
0,0.01645447518516621,-0.0014788148280219168,2.47226075581191,-0.02411521,0.30479806,2.45473313,0.3094489312908442
1,0.04768468812580981,0.0011092489110635234,2.4872614392497767,-0.02411521,0.30479806,2.45473313,0.31375182908492744
2,0.07884655241549635,0.003646896981498376,2.5071346788844626,-0.02411521,0.30479806,2.45473313,0.32255087944786626
3,0.11127179328860873,0.0062850871091458226,2.5280701529665937,0.32263156,-0.2252861,2.51121346,0.3139782059016243
4,0.1432419180484614,0.008927994659159354,2.54413577131969,0.32263156,-0.2252861,2.51121346,0.2968514179840505
5,0.17653823516720443,0.011665865879394981,2.562475866068435,0.32263156,-0.2252861,2.51121346,0.283050044993347
6,0.2098526510794435,0.014386055697385216,2.5829271826264364,0.32360721,-0.22893459,2.5278424,0.2741885657258606
7,0.2444271980762174,0.01721861514356316,2.603113229783602,0.3267148,-0.23348813,2.55043755,0.2690721998488715
8,0.27862861372802955,0.02003799099186883,2.621175725995952,0.33576585,-0.23562482,2.61880255,0.2619804738093486
9,0.31405775613080167,0.022967231324877123,2.638937633559048,0.34222638,-0.23294923,2.65290165,0.25784045513242265
10,0.3498261911513434,0.025893433445679778,2.6602775885921233,0.34222638,-0.23294923,2.65290165,0.2590592326463281
11,0.38793113719514405,0.028968150661653626,2.687684807709403,0.39539778,-0.23187292,2.69501114,0.2610507422772924
12,0.4956810417508908,0.037985961074276806,2.7297368146796313,0.38957937,0.29040629,2.82192302,0.28891501112727463
13,0.5368736139737488,0.0412855197062994,2.762028605131387,0.38957937,0.29040629,2.82192302,0.29554034146285085
14,0.5698954728012794,0.04435231399742083,2.741689291124013,0.78918505,0.15396243,2.65290165,0.26074037166204056
15,0.5975013672192899,0.0470847365910952,2.7062030376340616,0.78918505,0.15396243,2.65290165,0.2258462165202248
16,0.02802890280120587,0.020673750722536854,0.15473496523599004,0.05393772,0.01294134,0.40153263,0.24827433277967173
17,0.038134048281847716,0.02142837461892516,0.1686641600989997,0.05393772,0.01294134,0.40153263,0.23355836544733533
18,0.03668957246861057,0.021507103937429682,0.1462192835735177,0.05393772,0.01294134,0.40153263,0.25603862163467705
