angle_degrees,distance_meters,quality
3.572812500000000000e+02,5.107500000000000373e-01,3.800000000000000000e+01
3.581093750000000000e+02,5.120000000000000107e-01,4.300000000000000000e+01
3.589218750000000000e+02,5.137500000000000400e-01,4.300000000000000000e+01
3.597500000000000000e+02,5.142499999999999849e-01,3.400000000000000000e+01
5.937500000000000000e-01,5.152499999999999858e-01,2.400000000000000000e+01
1.421875000000000000e+00,5.162499999999999867e-01,2.300000000000000000e+01
2.250000000000000000e+00,5.170000000000000151e-01,3.600000000000000000e+01
3.078125000000000000e+00,5.172499999999999876e-01,4.300000000000000000e+01
3.890625000000000000e+00,5.192499999999999893e-01,4.300000000000000000e+01
4.718750000000000000e+00,5.212499999999999911e-01,3.300000000000000000e+01
6.359375000000000000e+00,9.512500000000000400e-01,4.100000000000000000e+01
7.203125000000000000e+00,9.589999999999999636e-01,4.200000000000000000e+01
8.031250000000000000e+00,9.639999999999999680e-01,4.000000000000000000e+01
8.859375000000000000e+00,9.712499999999999467e-01,4.300000000000000000e+01
9.687500000000000000e+00,9.777500000000000080e-01,4.200000000000000000e+01
1.050000000000000000e+01,9.842499999999999583e-01,4.100000000000000000e+01
1.132812500000000000e+01,9.905000000000000471e-01,4.000000000000000000e+01
1.214062500000000000e+01,9.967500000000000249e-01,4.200000000000000000e+01
1.740625000000000000e+01,9.412500000000000311e-01,3.400000000000000000e+01
1.825000000000000000e+01,9.237499999999999600e-01,3.700000000000000000e+01
1.907812500000000000e+01,9.162500000000000089e-01,4.000000000000000000e+01
1.992187500000000000e+01,9.160000000000000364e-01,4.100000000000000000e+01
2.075000000000000000e+01,9.177499999999999547e-01,4.000000000000000000e+01
2.159375000000000000e+01,9.232500000000000151e-01,3.900000000000000000e+01
2.242187500000000000e+01,9.334999999999999964e-01,4.100000000000000000e+01
2.326562500000000000e+01,9.477499999999999813e-01,4.000000000000000000e+01
2.407812500000000000e+01,9.625000000000000222e-01,4.500000000000000000e+01
2.656250000000000000e+01,8.185000000000000053e-01,3.400000000000000000e+01
3.060937500000000000e+01,4.939999999999999947e-01,3.000000000000000000e+01
3.140625000000000000e+01,4.844999999999999862e-01,3.300000000000000000e+01
3.220312500000000000e+01,4.767500000000000071e-01,3.600000000000000000e+01
3.300000000000000000e+01,4.707500000000000018e-01,3.900000000000000000e+01
3.393750000000000000e+01,4.670000000000000262e-01,4.000000000000000000e+01
3.476562500000000000e+01,4.642499999999999960e-01,4.200000000000000000e+01
3.559375000000000000e+01,4.617499999999999938e-01,4.300000000000000000e+01
3.642187500000000000e+01,4.592499999999999916e-01,4.400000000000000000e+01
3.725000000000000000e+01,4.557499999999999885e-01,4.500000000000000000e+01
3.807812500000000000e+01,4.532499999999999862e-01,4.500000000000000000e+01
3.890625000000000000e+01,4.530000000000000138e-01,4.500000000000000000e+01
3.973437500000000000e+01,4.547499999999999876e-01,4.600000000000000000e+01
4.056250000000000000e+01,4.572499999999999898e-01,4.500000000000000000e+01
4.139062500000000000e+01,4.590000000000000191e-01,4.300000000000000000e+01
4.221875000000000000e+01,4.615000000000000213e-01,4.200000000000000000e+01
4.304687500000000000e+01,4.655000000000000249e-01,4.000000000000000000e+01
4.387500000000000000e+01,4.712500000000000022e-01,3.800000000000000000e+01
4.470312500000000000e+01,4.784999999999999809e-01,3.600000000000000000e+01
4.553125000000000000e+01,4.882500000000000173e-01,3.400000000000000000e+01
4.635937500000000000e+01,4.962500000000000244e-01,3.300000000000000000e+01
4.745312500000000000e+01,5.057500000000000329e-01,3.100000000000000000e+01
4.834375000000000000e+01,5.207500000000000462e-01,2.800000000000000000e+01
5.164062500000000000e+01,7.954999999999999849e-01,3.100000000000000000e+01
5.246875000000000000e+01,8.014999999999999902e-01,3.400000000000000000e+01
5.331250000000000000e+01,8.030000000000000471e-01,3.400000000000000000e+01
5.414062500000000000e+01,8.047499999999999654e-01,3.600000000000000000e+01
5.498437500000000000e+01,8.080000000000000515e-01,3.500000000000000000e+01
5.581250000000000000e+01,8.147499999999999742e-01,2.000000000000000000e+01
5.832812500000000000e+01,8.312500000000000444e-01,3.000000000000000000e+01
5.915625000000000000e+01,8.342500000000000471e-01,3.100000000000000000e+01
6.000000000000000000e+01,8.409999999999999698e-01,3.000000000000000000e+01
6.084375000000000000e+01,8.469999999999999751e-01,3.100000000000000000e+01
6.168750000000000000e+01,8.549999999999999822e-01,3.100000000000000000e+01
6.251562500000000000e+01,8.632499999999999618e-01,3.000000000000000000e+01
6.335937500000000000e+01,8.705000000000000515e-01,2.800000000000000000e+01
6.420312500000000000e+01,8.837500000000000355e-01,9.000000000000000000e+00
6.587500000000000000e+01,5.244999999999999662e-01,1.400000000000000000e+01
6.671875000000000000e+01,5.257500000000000506e-01,1.000000000000000000e+01
7.017187500000000000e+01,8.974999999999999645e-01,3.400000000000000000e+01
7.096875000000000000e+01,9.150000000000000355e-01,3.800000000000000000e+01
7.181250000000000000e+01,9.252500000000000169e-01,3.800000000000000000e+01
7.264062500000000000e+01,9.250000000000000444e-01,3.800000000000000000e+01
7.348437500000000000e+01,9.244999999999999885e-01,3.300000000000000000e+01
7.434375000000000000e+01,9.352500000000000258e-01,3.200000000000000000e+01
7.518750000000000000e+01,9.559999999999999609e-01,3.500000000000000000e+01
7.603125000000000000e+01,9.589999999999999636e-01,3.300000000000000000e+01
7.687500000000000000e+01,9.455000000000000071e-01,3.000000000000000000e+01
7.770312500000000000e+01,9.372500000000000275e-01,1.800000000000000000e+01
7.854687500000000000e+01,9.312500000000000222e-01,1.400000000000000000e+01
7.937500000000000000e+01,9.429999999999999494e-01,1.200000000000000000e+01
8.021875000000000000e+01,9.589999999999999636e-01,2.000000000000000000e+01
8.107812500000000000e+01,9.585000000000000187e-01,1.500000000000000000e+01
8.521875000000000000e+01,9.010000000000000231e-01,1.200000000000000000e+01
8.857812500000000000e+01,3.405000000000000249e-01,2.000000000000000000e+00
9.025000000000000000e+01,4.460000000000000075e-01,1.900000000000000000e+01
9.528125000000000000e+01,3.119999999999999996e-01,3.000000000000000000e+00
1.036718750000000000e+02,5.249999999999999806e-02,2.500000000000000000e+01
1.072812500000000000e+02,3.950000000000000039e-02,3.700000000000000000e+01
1.080625000000000000e+02,3.925000000000000017e-02,3.800000000000000000e+01
1.097656250000000000e+02,3.649999999999999772e-02,3.900000000000000000e+01
1.106250000000000000e+02,3.674999999999999795e-02,3.900000000000000000e+01
1.139375000000000000e+02,4.275000000000000328e-02,4.700000000000000000e+01
1.148125000000000000e+02,4.225000000000000283e-02,4.700000000000000000e+01
1.156562500000000000e+02,4.225000000000000283e-02,4.800000000000000000e+01
1.165000000000000000e+02,4.200000000000000261e-02,4.800000000000000000e+01
1.173437500000000000e+02,4.125000000000000194e-02,4.900000000000000000e+01
1.181875000000000000e+02,4.200000000000000261e-02,5.000000000000000000e+01
1.190312500000000000e+02,4.250000000000000305e-02,5.000000000000000000e+01
1.198750000000000000e+02,4.200000000000000261e-02,5.000000000000000000e+01
1.207187500000000000e+02,4.150000000000000216e-02,5.000000000000000000e+01
1.223437500000000000e+02,4.349999999999999700e-02,5.000000000000000000e+01
1.231718750000000000e+02,4.250000000000000305e-02,5.100000000000000000e+01
1.240000000000000000e+02,4.200000000000000261e-02,5.100000000000000000e+01
1.248593750000000000e+02,4.200000000000000261e-02,5.100000000000000000e+01
1.257031250000000000e+02,4.275000000000000328e-02,5.100000000000000000e+01
1.265312500000000000e+02,4.324999999999999678e-02,5.200000000000000000e+01
1.273750000000000000e+02,4.424999999999999767e-02,5.300000000000000000e+01
1.282343750000000000e+02,4.499999999999999833e-02,5.300000000000000000e+01
1.290781250000000000e+02,4.424999999999999767e-02,5.300000000000000000e+01
1.299218750000000000e+02,4.275000000000000328e-02,5.300000000000000000e+01
1.307656250000000000e+02,4.200000000000000261e-02,5.300000000000000000e+01
1.316093750000000000e+02,4.150000000000000216e-02,5.100000000000000000e+01
1.332968750000000000e+02,3.624999999999999750e-02,4.800000000000000000e+01
1.349531250000000000e+02,3.350000000000000200e-02,4.700000000000000000e+01
1.357968750000000000e+02,3.325000000000000178e-02,4.700000000000000000e+01
1.374687500000000000e+02,3.225000000000000089e-02,4.700000000000000000e+01
1.385468750000000000e+02,3.275000000000000133e-02,4.800000000000000000e+01
1.394531250000000000e+02,3.350000000000000200e-02,4.900000000000000000e+01
1.412500000000000000e+02,3.624999999999999750e-02,5.100000000000000000e+01
1.428281250000000000e+02,3.549999999999999684e-02,5.300000000000000000e+01
1.445312500000000000e+02,3.749999999999999861e-02,5.400000000000000000e+01
1.453437500000000000e+02,3.749999999999999861e-02,5.500000000000000000e+01
1.461875000000000000e+02,3.824999999999999928e-02,5.500000000000000000e+01
1.470312500000000000e+02,3.774999999999999883e-02,5.600000000000000000e+01
1.478750000000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.487500000000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.496093750000000000e+02,3.649999999999999772e-02,5.700000000000000000e+01
1.513125000000000000e+02,3.824999999999999928e-02,5.800000000000000000e+01
1.521875000000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
1.530468750000000000e+02,3.799999999999999906e-02,5.800000000000000000e+01
1.539062500000000000e+02,3.849999999999999950e-02,5.800000000000000000e+01
1.547656250000000000e+02,3.849999999999999950e-02,5.700000000000000000e+01
1.555937500000000000e+02,3.749999999999999861e-02,5.700000000000000000e+01
1.564531250000000000e+02,3.699999999999999817e-02,5.700000000000000000e+01
1.572968750000000000e+02,3.724999999999999839e-02,5.700000000000000000e+01
1.581562500000000000e+02,3.749999999999999861e-02,5.600000000000000000e+01
1.590156250000000000e+02,3.749999999999999861e-02,5.600000000000000000e+01
1.598750000000000000e+02,3.799999999999999906e-02,5.600000000000000000e+01
1.607187500000000000e+02,3.849999999999999950e-02,5.600000000000000000e+01
1.615781250000000000e+02,3.899999999999999994e-02,5.600000000000000000e+01
1.624062500000000000e+02,3.899999999999999994e-02,5.600000000000000000e+01
1.632500000000000000e+02,3.849999999999999950e-02,5.500000000000000000e+01
1.640937500000000000e+02,3.774999999999999883e-02,5.400000000000000000e+01
1.649375000000000000e+02,3.774999999999999883e-02,5.300000000000000000e+01
1.666875000000000000e+02,3.475000000000000311e-02,5.000000000000000000e+01
1.701093750000000000e+02,2.825000000000000080e-02,4.600000000000000000e+01
1.718125000000000000e+02,2.649999999999999925e-02,4.400000000000000000e+01
1.734843750000000000e+02,2.224999999999999895e-02,4.200000000000000000e+01
1.743281250000000000e+02,2.224999999999999895e-02,4.300000000000000000e+01
1.769218750000000000e+02,2.624999999999999903e-02,4.500000000000000000e+01
1.777656250000000000e+02,2.674999999999999947e-02,4.500000000000000000e+01
1.811875000000000000e+02,2.624999999999999903e-02,4.400000000000000000e+01
1.829062500000000000e+02,2.324999999999999983e-02,4.200000000000000000e+01
1.837656250000000000e+02,2.299999999999999961e-02,4.200000000000000000e+01
1.854687500000000000e+02,2.199999999999999872e-02,4.100000000000000000e+01
1.871250000000000000e+02,2.050000000000000086e-02,4.100000000000000000e+01
1.922968750000000000e+02,3.099999999999999978e-02,4.700000000000000000e+01
1.961406250000000000e+02,3.475000000000000311e-02,4.900000000000000000e+01
1.968281250000000000e+02,3.450000000000000289e-02,4.900000000000000000e+01
1.994062500000000000e+02,3.450000000000000289e-02,4.900000000000000000e+01
2.002812500000000000e+02,3.450000000000000289e-02,4.900000000000000000e+01
2.020000000000000000e+02,3.674999999999999795e-02,5.000000000000000000e+01
2.028593750000000000e+02,3.624999999999999750e-02,5.000000000000000000e+01
2.037656250000000000e+02,3.624999999999999750e-02,5.100000000000000000e+01
2.046406250000000000e+02,3.674999999999999795e-02,5.100000000000000000e+01
2.055000000000000000e+02,3.699999999999999817e-02,5.100000000000000000e+01
2.063750000000000000e+02,3.749999999999999861e-02,5.200000000000000000e+01
2.071875000000000000e+02,3.724999999999999839e-02,5.100000000000000000e+01
2.080468750000000000e+02,3.724999999999999839e-02,5.200000000000000000e+01
2.088906250000000000e+02,3.774999999999999883e-02,5.200000000000000000e+01
2.097500000000000000e+02,3.749999999999999861e-02,5.200000000000000000e+01
2.105937500000000000e+02,3.724999999999999839e-02,5.200000000000000000e+01
2.122968750000000000e+02,3.899999999999999994e-02,5.300000000000000000e+01
2.131562500000000000e+02,3.849999999999999950e-02,5.300000000000000000e+01
2.140000000000000000e+02,3.849999999999999950e-02,5.400000000000000000e+01
2.148593750000000000e+02,3.849999999999999950e-02,5.400000000000000000e+01
2.157031250000000000e+02,3.899999999999999994e-02,5.500000000000000000e+01
2.174375000000000000e+02,4.025000000000000105e-02,5.600000000000000000e+01
