scene,method,group,median_error_cm,count
checkerboard_data_30,DA-V2 GT,Very Far,1.462,7075
checkerboard_data_30,Foundation,Near,82.436,20814
checkerboard_data_30,Foundation,Mid,57.395,2374
checkerboard_data_30,Foundation,Far,43.949,15243
checkerboard_data_30,Foundation,Very Far,19.382,7075
checkerboard_data_60,OpenCV,Near,46.722,7880
checkerboard_data_60,OpenCV,Very Far,56.196,918
checkerboard_data_60,DA-V2,Near,69.700,7880
checkerboard_data_60,DA-V2,Very Far,11.884,918
checkerboard_data_60,DA-V2 GT,Near,85.444,7880
checkerboard_data_60,DA-V2 GT,Very Far,0.634,918
checkerboard_data_60,Foundation,Near,62.087,7880
checkerboard_data_60,Foundation,Very Far,16.893,918
