scene,method,distance_cm_bin,median_error_cm,count
checkerboard_data_30,Foundation,27,86.862,7049
checkerboard_data_30,Foundation,49,57.395,2374
checkerboard_data_30,Foundation,72,43.949,15243
checkerboard_data_30,Foundation,94,19.382,7075
checkerboard_data_60,OpenCV,16,46.722,7880
checkerboard_data_60,OpenCV,94,56.196,918
checkerboard_data_60,DA-V2,16,69.700,7880
checkerboard_data_60,DA-V2,94,11.884,918
checkerboard_data_60,DA-V2 GT,16,85.444,7880
checkerboard_data_60,DA-V2 GT,94,0.634,918
checkerboard_data_60,Foundation,16,62.087,7880
checkerboard_data_60,Foundation,94,16.893,918
