pair_id,ruler_distance_cm,placement_angle_deg,height_cm,gt_volume_cm3,opencv_volume_cm3,opencv_depth_cm,opencv_width_cm,opencv_width_source,opencv_outside_mode,dav2_volume_cm3,dav2_depth_cm,dav2_width_cm,dav2_width_source,dav2_outside_mode,dav2_gt_volume_cm3,dav2_gt_depth_cm,dav2_gt_width_cm,dav2_gt_width_source,dav2_gt_outside_mode,foundation_volume_cm3,foundation_depth_cm,foundation_width_cm,foundation_width_source,foundation_outside_mode
000,20.0,-30.0,19.0,4940,4078.0,15.89,13.51,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,0.0,0.00,13.51,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,1049.9,4.09,13.51,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band,990.1,1.45,36.03,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band
001,25.0,-30.0,19.0,4940,15888.9,61.90,13.51,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,172.8,0.67,13.51,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,132.2,0.52,13.51,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,1275.3,1.86,36.03,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band
002,50.0,-30.0,19.0,4940,,,,,,552.4,1.82,15.97,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band,51.6,0.13,20.86,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,1069.7,1.56,36.03,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band
003,75.0,-30.0,19.0,4940,342.2,0.85,21.25,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,0.0,0.00,18.81,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band,6.9,0.02,20.72,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band,571.4,0.83,36.03,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band
004,100.0,-30.0,19.0,4940,27068.1,95.95,14.85,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band,920.2,2.95,16.43,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band,9.2,0.02,23.07,nominal_cos_x_ruler_scale_clamped,all_outside_seed+consistent_band|abs|,1523.1,2.23,36.03,nominal_cos_x_ruler_scale_clamped,closer_flap_seed+consistent_band
