image,valid,area_ratio,center_x_norm,center_y_norm,grid_cells,sharpness_laplacian_var,board_distance_m,pitch_deg,yaw_deg,roll_deg,reprojection_error_px
rgb1_000.png,True,0.038496691385904946,0.3098832964897156,0.36122700572013855,"1,1;1,2;2,1",320.1399467512896,0.7308483652310772,7.304904721646895,3.0762095946932835,9.141154947926974,0.24342620099277903
rgb1_001.png,True,0.04276515960693359,0.4174899160861969,0.3824106752872467,"1,1;1,2;2,1;2,2",325.7983989302977,0.6936606132226851,6.653458728854657,2.4591604388631048,9.242418801996283,0.20843413941366654
rgb1_002.png,True,0.04457211388481988,0.4916418492794037,0.4287305474281311,"1,1;1,2;2,1;2,2",322.0498060998799,0.6712412330796497,6.735591872605897,2.184482805110138,10.598561711673828,0.1614798393238845
rgb1_003.png,True,0.04254840850830078,0.5931505560874939,0.46359872817993164,"1,2;1,3;2,2;2,3",301.30126821687367,0.6549614024294965,6.666632353412551,0.27694029300553374,9.943084095803039,0.15361222619614695
rgb1_004.png,True,0.03916572570800781,0.6625872850418091,0.4750683307647705,"1,2;1,3;2,2;2,3",287.19795969136436,0.6588252786480039,6.839593781351089,-0.7157733223739207,11.125366503207683,0.1712672162777013
rgb1_005.png,True,0.0369754155476888,0.7032289505004883,0.4754641354084015,"1,3;2,3",279.24667361365425,0.6628300856834921,6.229340053752497,-1.8125810304828758,11.436136494751437,0.20170791648262956
rgb1_006.png,True,0.05613268534342448,0.7317873239517212,0.4531708061695099,"1,3;1,4;2,3;2,4",349.1931071848928,0.55012551148654,15.338406091729173,-0.678053311543692,9.108596078241963,0.1969587629154174
rgb1_007.png,True,0.0696341535780165,0.6138460040092468,0.4823583960533142,"1,2;1,3;2,2;2,3;3,2;3,3",366.90808881838643,0.5234265208917441,12.968109734907454,2.028917185109593,11.850483801807677,0.203003917224181
rgb1_008.png,True,0.07792477077907986,0.48963600397109985,0.49604135751724243,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",380.003736180581,0.5144756186841258,13.904543255501041,2.646529621232346,13.802735518348076,0.24514448217890975
rgb1_009.png,True,0.08079342312282986,0.36603254079818726,0.47901996970176697,"1,1;1,2;2,1;2,2;3,1;3,2",389.35507839598364,0.5107836305957645,10.30378446344942,2.562972183389897,13.95563753290815,0.2837868438076741
rgb1_010.png,True,0.08999494764539931,0.2697535455226898,0.49638134241104126,"1,0;1,1;2,0;2,1;2,2;3,0;3,1;3,2",371.78637426794427,0.4916721308607277,16.07013912123875,4.064481763592661,14.487573112619687,0.5055539223781609
rgb1_011.png,True,0.17687659369574651,0.4693066477775574,0.49517953395843506,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",400.5089078678449,0.3591714930259236,14.962381220732237,1.3978546585290819,8.079925768061303,0.3233267317497474
rgb1_012.png,True,0.18360370212131077,0.6184611916542053,0.5202550292015076,"1,2;1,3;1,4;2,2;2,3;2,4;3,2;3,3;3,4",395.2116076919367,0.3303707756804153,16.334501132541305,-0.5332655423356951,4.592040894362963,0.34243668080526296
rgb1_013.png,True,0.1541317579481337,0.681388258934021,0.481967955827713,"1,2;1,3;1,4;2,2;2,3;2,4;3,2;3,3;3,4",390.74722284232126,0.34227975710650627,10.356456537701803,-1.6093634820922802,1.6733245686656537,0.41645704094428254
rgb1_014.png,True,0.20679638332790798,0.5230273008346558,0.4701160490512848,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",399.33446690960994,0.33316648576846725,12.242540772027775,-3.319206210606449,5.747429537428024,0.31456751231635416
rgb1_015.png,True,0.1329092322455512,0.5158557295799255,0.4661867916584015,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",403.27063444907105,0.39334313037526636,11.07818418060815,1.267284047686313,10.16352849886781,0.26724884060014
rgb1_016.png,True,0.09765406290690104,0.504662811756134,0.46611836552619934,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",397.0963865149981,0.46369442693414575,10.640238280846544,3.6539698619226204,13.053429027173978,0.21272418500053994
rgb1_017.png,True,0.06090208689371745,0.5129321813583374,0.5095625519752502,"1,2;1,3;2,2;2,3;3,2;3,3",345.3660067256928,0.5894507590617488,4.900480426726486,3.953233195069513,9.195162771948993,0.1845999330648074
rgb1_018.png,True,0.12004643758138021,0.584762692451477,0.4276014566421509,"1,2;1,3;2,2;2,3;3,3",345.3703213797675,0.5693391091268335,10.098568492289845,37.35870541594492,15.94717768599706,0.2557557845439664
rgb1_019.png,True,0.1141927252875434,0.5221691727638245,0.47000953555107117,"1,2;1,3;2,1;2,2;2,3;3,2",342.4359204915176,0.5624213724775678,9.45844486554772,-25.794279470217734,-0.5604818521792658,0.20138759850078158
rgb1_020.png,True,0.19390784369574654,0.5454372763633728,0.4883148670196533,"1,2;1,3;2,1;2,2;2,3;3,2;3,3",374.1138304734866,0.4471720952881741,14.968673731364149,-29.61073525537243,-2.3675709178796036,0.4596833271119647
rgb1_021.png,True,0.16489334106445314,0.5471775531768799,0.4747768044471741,"1,2;1,3;2,1;2,2;2,3;3,2;3,3",375.36729205658406,0.46696337497316165,9.317888723355516,25.945329985944316,7.820755532256147,0.223279039213091
rgb1_022.png,True,0.16254586113823785,0.34796082973480225,0.46277379989624023,"1,1;1,2;2,0;2,1;2,2;3,1;3,2",396.980248829778,0.4697325512709346,3.5008996232583103,25.57109703402578,8.29551191777801,0.3533226636210533
rgb1_023.png,True,0.18886145697699652,0.7021355628967285,0.48087072372436523,"1,2;1,3;1,4;2,2;2,3;2,4;3,3;3,4",385.4553130749173,0.4182596479591877,11.542472165993631,26.999834850551597,8.05286298624323,0.3530841060397296
rgb1_024.png,True,0.09041822645399306,0.33356496691703796,0.7182810306549072,"2,1;3,1;3,2;4,1;4,2",304.9023462324308,0.6296502332266246,1.1335135794200375,36.21330138821493,5.7018961708554645,0.19137355194477873
rgb1_025.png,True,0.12222840203179254,0.5037386417388916,0.6217771768569946,"1,2;2,1;2,2;2,3;3,1;3,2;3,3;4,2",349.5461900748253,0.5378367237837066,5.840475998299706,31.128030353914976,11.857133951656566,0.17367133620572023
rgb1_026.png,True,0.13408844841851128,0.6690114736557007,0.6132717132568359,"1,2;2,2;2,3;2,4;3,2;3,3;4,3",342.37315889815227,0.4877080680936304,13.002767219051085,25.658681114196686,9.958267356744548,0.20108808159473987
rgb1_027.png,True,0.1939459737141927,0.4159208834171295,0.49429258704185486,"1,1;1,2;2,1;2,2;3,1;3,2",385.5452573052853,0.46448503719325873,6.657669495121933,-33.84190992922839,-2.6761313781062337,0.30127738897980216
rgb1_028.png,True,0.18047371758355035,0.33280184864997864,0.4785139262676239,"0,1;1,1;1,2;2,0;2,1;2,2;3,1",370.4561886292622,0.4865562461428985,3.9174620140392933,-35.67666656469677,-1.9633608281014072,0.29295072534822864
rgb1_029.png,True,0.1646580335828993,0.2797190546989441,0.4976429343223572,"1,1;1,2;2,0;2,1;2,2;3,0;3,1",375.9378581712464,0.50372400221878,3.229849116326232,-33.199824283913046,1.8975259010772487,0.2749660053262416
rgb1_030.png,True,0.25540134006076387,0.6049860715866089,0.5281919836997986,"1,2;1,3;2,2;2,3;2,4;3,2;3,3;4,2",392.4305877667168,0.3818586213050124,14.394982104706074,-29.939136622491464,-5.882707444170914,0.24896108446577928
rgb1_031.png,True,0.24255299886067708,0.49585622549057007,0.5114137530326843,"0,2;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3;4,2",386.97045166568995,0.3997145806580805,7.8516729984675795,-30.26916605676606,-0.42087901575489833,0.22027221572716219
rgb1_032.png,True,0.06857515970865885,0.4832128882408142,0.3211601972579956,"0,1;0,2;0,3;1,1;1,2;1,3;2,1;2,2;2,3",371.0020469759718,0.5556012866671718,9.890846810767195,1.3918474071011384,-1.8764820518824639,0.287265616657141
rgb1_033.png,True,0.06877424875895183,0.34218448400497437,0.3441039025783539,"0,2;1,1;1,2;2,1;2,2",387.8182090797412,0.5700792250265434,8.64354460468725,1.666490504890515,-0.1650093525871361,0.3060076344603644
rgb1_034.png,True,0.07601754082573785,0.3222058415412903,0.5730943083763123,"2,1;2,2;3,1;3,2",387.41594489945305,0.5416763895103814,8.566488674534348,1.3537941518033736,-3.478668010767911,0.28610427597428323
