held_out_distance_m,test_captures,mean,median,p90,max
0.5,2,0.004809637782849055,0.0,0.015042346523207701,0.09929806094089366
0.75,2,0.007445928054012318,0.00042735055136047806,0.02024965740754591,0.11213774197268848
1.0,2,0.017663865859673226,0.0039575682954176745,0.05139685560418375,0.2584650600000047
