image,valid,area_ratio,center_x_norm,center_y_norm,grid_cells,sharpness_laplacian_var,board_distance_m,pitch_deg,yaw_deg,roll_deg,reprojection_error_px
rgb2_000.png,True,0.034272956848144534,0.2718484103679657,0.3404950797557831,"1,0;1,1;2,0;2,1",339.2185812579072,0.7562317989833092,5.47711042628043,3.005709426302584,8.39588511035016,0.2563664437098072
rgb2_001.png,True,0.04010104709201389,0.3723420202732086,0.3577837347984314,"1,1;1,2;2,1;2,2",349.29569497284945,0.7082113812156279,5.0607673801217565,2.1115706468577935,8.22110406356665,0.17693793229199065
rgb2_002.png,True,0.04326365152994792,0.44392919540405273,0.40161094069480896,"1,1;1,2;2,1;2,2",351.943068508572,0.6778058089859742,4.884277175287084,2.004911930035022,9.729087969063345,0.18680051716412469
rgb2_003.png,True,0.044341587490505645,0.546455979347229,0.4349793791770935,"1,2;1,3;2,2;2,3",342.0272709448496,0.6505220518649398,5.170882250879052,0.07502121340927725,9.11059157471082,0.163361443321826
rgb2_004.png,True,0.04323293897840712,0.6194078326225281,0.44551214575767517,"1,2;1,3;2,2;2,3",321.0644369573899,0.6457491560277294,5.293915339405902,-1.109500469923781,10.40649423557003,0.1630312496893708
rgb2_007.png,True,0.07256586710611979,0.5493015646934509,0.45173126459121704,"1,2;1,3;2,2;2,3",387.6397384112311,0.5231715795091929,11.716927142500879,1.6257124376786556,10.588172524252682,0.24598275195248448
rgb2_008.png,True,0.07411306593153212,0.4190584719181061,0.4660070240497589,"1,1;1,2;2,1;2,2;3,1;3,2",389.4132561643812,0.5291189451972155,12.18440171213373,2.3184501357764966,12.431786911899797,0.283901747130433
rgb2_009.png,True,0.07125943501790365,0.298105925321579,0.4511492848396301,"1,0;1,1;1,2;2,0;2,1;2,2;3,1;3,2",387.43668696853734,0.5384333426448457,8.492143033494706,2.395469995868241,12.984559699168257,0.3485707091838504
rgb2_015.png,True,0.13012530856662327,0.4170345664024353,0.4336989223957062,"1,1;1,2;2,1;2,2;3,1;3,2",394.40766693110993,0.4121073645189001,9.42845760307096,0.9672050339662611,9.004201389732764,0.3224362231005662
rgb2_016.png,True,0.09307571411132813,0.42522287368774414,0.4362640678882599,"1,1;1,2;2,1;2,2;3,2",397.7879895290045,0.477860612681436,8.971613567228479,3.4174975170315207,12.149167158498818,0.26488856203280586
rgb2_017.png,True,0.05955031500922309,0.4563632905483246,0.4803444743156433,"1,1;1,2;2,1;2,2;3,2",381.6501226759911,0.59463542347044,3.1542922106788076,3.679590721725882,8.822988037223784,0.18973227143431073
rgb2_019.png,True,0.11435166252983942,0.45972681045532227,0.4405856132507324,"1,1;1,2;2,1;2,2;3,1;3,2",366.7939594944318,0.5716670383632507,7.4097950550107425,-26.05891156789501,-0.37930738190334484,0.2018329565526257
rgb2_024.png,True,0.08111853705512152,0.28855353593826294,0.6862668991088867,"2,1;3,0;3,1;3,2;4,1",341.6862512609588,0.6487109059116248,0.32632865573012737,36.22821375041482,4.128611854099841,0.21281402259067952
rgb2_025.png,True,0.11942498101128472,0.4409202039241791,0.5948141813278198,"1,1;2,1;2,2;3,1;3,2;4,2",384.8343787940508,0.5420994925059899,4.971153107734453,31.02567935308042,10.06515468688071,0.20004034793355993
rgb2_026.png,True,0.14798663669162326,0.6025891304016113,0.584877073764801,"1,2;2,2;2,3;3,2;3,3;4,3",401.4185606178837,0.47624534873675173,11.952015757499112,25.194822719147297,7.967540317638833,0.24364556667203596
rgb2_032.png,True,0.06695799085828993,0.4188064932823181,0.29819798469543457,"0,1;0,2;1,1;1,2;2,1;2,2",368.28295459208545,0.5684523106749869,7.277491064904361,1.6969580175991732,-2.984278917905085,0.38253690971149557
rgb2_033.png,True,0.06143028683132595,0.28304556012153625,0.3217127323150635,"0,1;1,0;1,1;2,0;2,1",380.86165136266527,0.597339004205575,7.15123657310389,1.45834448753386,-1.2372296813209083,0.31573078176487696
rgb2_034.png,True,0.06563699934217665,0.26052457094192505,0.5432543158531189,"1,1;2,0;2,1;3,0;3,1",399.0785884284962,0.5706619000501576,7.1159834874226275,1.205977979769486,-4.22602715576206,0.33260851327297236
rgb2_035.png,True,0.10309417724609375,0.5494744181632996,0.5866124629974365,"2,2;2,3;3,2;3,3",395.5167055051403,0.46836134210446995,13.591948862470028,-3.54305499755622,-13.987465918454085,0.43501790196848517
rgb2_036.png,True,0.08483617146809896,0.384425550699234,0.4614933729171753,"1,1;1,2;2,1;2,2;3,1;3,2",400.7714880168479,0.5287635454522269,8.743767951064426,-3.8530401736146898,-6.236007493911061,0.3168141441491579
