pair_id,ruler_distance_cm,opencv_volume_cm3,opencv_depth_cm,opencv_w_cm,opencv_h_cm,opencv_outside_mode,opencv_outside_candidates_n,opencv_outside_total_n,dav2_volume_cm3,dav2_depth_cm,dav2_w_cm,dav2_h_cm,dav2_outside_mode,dav2_outside_candidates_n,dav2_outside_total_n,dav2_gt_volume_cm3,dav2_gt_depth_cm,dav2_gt_w_cm,dav2_gt_h_cm,dav2_gt_outside_mode,dav2_gt_outside_candidates_n,dav2_gt_outside_total_n,foundation_volume_cm3,foundation_depth_cm,foundation_w_cm,foundation_h_cm,foundation_outside_mode,foundation_outside_candidates_n,foundation_outside_total_n
000,20.0,1768.2,3.67,20.69,23.32,closer_only,308,3126,0.0,0.00,30.75,34.66,fallback_all_outside,0,20960,0.0,0.00,37.34,42.09,fallback_all_outside,0,20960,13342.1,8.95,36.37,41.00,closer_only,20045,20960
002,25.0,3242.9,12.41,14.96,17.47,closer_only,96,1815,0.0,0.00,22.70,26.51,fallback_all_outside,0,15160,173.2,0.23,25.15,29.37,fallback_all_outside,0,15160,941.0,1.71,21.73,25.38,fallback_all_outside,0,15160
003,50.0,185.8,3.76,7.11,6.94,fallback_all_outside,0,1569,5.1,0.03,12.54,12.23,fallback_all_outside,0,8640,73.7,1.02,8.59,8.38,closer_only,3712,8640,82.3,0.53,12.60,12.29,closer_only,140,8640
004,75.0,1.2,0.05,5.00,4.80,fallback_all_outside,0,133,100.8,1.54,8.26,7.92,closer_only,1007,6080,34.0,0.90,6.30,6.04,closer_only,1169,6080,291.1,3.77,8.97,8.60,closer_only,1205,6080
005,100.0,,,,,,,,35.1,0.89,6.28,6.28,closer_only,991,5120,0.5,0.01,6.03,6.03,fallback_all_outside,0,5120,0.0,0.00,6.11,6.11,fallback_all_outside,0,5120
001,,5539.1,18.77,17.06,17.30,closer_only,132,612,48.5,0.09,22.68,22.99,fallback_all_outside,0,13840,,,,,,,,277.4,0.53,22.80,23.11,closer_only,44,13840
