image,initial_reprojection_error_px,kept
rgb2_000.png,1.4415591955184937,True
rgb2_001.png,0.6826585531234741,True
rgb2_002.png,0.6214045286178589,True
rgb2_003.png,1.0022534132003784,True
rgb2_004.png,1.4338854551315308,True
rgb2_005.png,1.7425709962844849,False
rgb2_006.png,1.6016114950180054,False
rgb2_007.png,0.8229225277900696,True
rgb2_008.png,1.344724416732788,True
rgb2_009.png,0.9764518737792969,True
rgb2_010.png,2.4042131900787354,False
rgb2_011.png,3.2401111125946045,False
rgb2_012.png,3.8201332092285156,False
rgb2_013.png,3.2961719036102295,False
rgb2_014.png,2.972928524017334,False
rgb2_015.png,1.3295698165893555,True
rgb2_016.png,0.9434719085693359,True
rgb2_017.png,0.8713412880897522,True
rgb2_018.png,2.0054869651794434,False
rgb2_019.png,1.4555131196975708,True
rgb2_020.png,1.691290259361267,False
rgb2_021.png,2.0606539249420166,False
rgb2_022.png,2.9803056716918945,False
rgb2_023.png,2.5788071155548096,False
rgb2_024.png,0.9831533432006836,True
rgb2_025.png,0.8431869149208069,True
rgb2_026.png,1.3857171535491943,True
rgb2_027.png,2.3186070919036865,False
rgb2_028.png,2.3850784301757812,False
rgb2_029.png,3.252974271774292,False
rgb2_030.png,3.7828524112701416,False
rgb2_031.png,2.8108413219451904,False
rgb2_032.png,0.613188624382019,True
rgb2_033.png,1.0860438346862793,True
rgb2_034.png,1.2498537302017212,True
rgb2_035.png,1.3057560920715332,True
rgb2_036.png,0.8206672668457031,True
